Date,ARM,IONQ,TSM,POET,AVGO,AMD,QUBT,AASI.MI,MWEQ.MI,QBTS,Liquidita,Liquidita Impegnata,Valore Titoli,NAV,Cash Flow,TWRR Giornaliero,TWRR Cumulativo
2025-04-22,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,329.14,329.14,0.0,0.0388,-0.2235
2025-04-23,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,345.27,345.27,0.0,0.049,-0.1854
2025-04-24,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,363.14,363.14,0.0,0.0518,-0.1433
2025-04-28,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,365.44,365.44,0.0,0.0063,-0.1378
2025-04-29,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,364.75,364.75,0.0,-0.0019,-0.1395
2025-04-30,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,373.34,373.34,0.0,0.0235,-0.1192
2025-05-01,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,375.43,375.43,0.0,0.0056,-0.1143
2025-05-05,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,393.41,393.41,0.0,0.0479,-0.0718
2025-05-06,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,389.78,389.78,0.0,-0.0092,-0.0804
2025-05-07,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,397.22,397.22,0.0,0.0191,-0.0629
2025-05-08,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,388.84,388.84,0.0,-0.0211,-0.0826
2025-05-12,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,419.86,419.86,0.0,0.0798,-0.0094
2025-05-13,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,427.59,427.59,0.0,0.0184,0.0088
2025-05-14,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,449.24,449.24,0.0,0.0506,0.0599
2025-05-15,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,443.25,443.25,0.0,-0.0133,0.0457
2025-05-19,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,439.38,439.38,0.0,-0.0087,0.0366
2025-05-20,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,433.29,433.29,0.0,-0.0139,0.0223
2025-05-21,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,428.04,428.04,0.0,-0.0121,0.0099
2025-05-22,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,425.44,425.44,0.0,-0.0061,0.0037
2025-05-26,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,421.46,421.46,0.0,-0.0094,-0.0057
2025-05-27,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,438.42,438.42,0.0,0.0402,0.0343
